Sample,1,2,3,4,5
1,205,202,204,207,205
2,202,196,201,198,202
3,201,202,199,197,196
4,205,203,196,201,197
5,199,196,201,200,195
6,203,198,192,217,196
7,202,202,198,203,202
8,197,196,196,200,204
9,199,200,204,196,202
10,202,196,204,195,197
11,205,204,202,208,205
12,200,201,199,200,201
13,205,196,201,197,198
14,202,199,200,198,200
15,200,200,201,205,201
16,201,187,209,202,200
17,202,202,204,198,203
18,201,198,204,201,201
19,207,206,194,197,201
20,200,204,198,199,199
21,203,200,204,199,200
22,196,203,197,201,194
23,197,199,203,200,196
24,201,197,196,199,207
25,204,196,201,199,197
26,206,206,199,200,203
27,204,203,199,199,197
28,199,201,201,194,200
29,201,196,197,204,200
30,203,206,201,196,201
31,203,197,199,197,201
32,197,194,199,200,199
33,200,201,200,197,200
34,199,199,201,201,201
35,200,204,197,197,199
