State,primary trained,middle trained,high trained,hs trained,Trained
 Andhra Pradesh,94,90,96,97,94.21137289
 Arunachal Pradesh,11,20,41,60,27.12310761
 Assam,64,90,29,29,46.91423293
 Bihar,85,90,98,95,91.86557105
 Chhattisgarh,63,69,73,67,67.90422951
 Goa,92,100,100,88,94.8566155
 Gujarat,100,100,100,100,100
 Haryana,95,93,94,97,94.7385068
 Himachal Pradesh,100,100,100,100,100
 Jammu & Kashmir,53,61,64,66,60.79003641
 Jharkhand,100,100,100,100,100
 Karnataka,100,100,100,100,100
 Kerala,98,97,99,100,98.49365436
 Madhya Pradesh,90,91,75,87,85.49999798
 Maharashtra,98,96,98,99,97.74389579
 Manipur,36,35,42,38,37.65744566
 Meghalaya,45,36,36,36,38.06536548
 Mizoram,50,62,41,27,43.04050206
 Nagaland,24,19,25,32,24.57614198
 Orissa,88,91,92,100,92.64627724
 Punjab,99,100,99,100,99.49874371
 Rajasthan,85,80,83,92,84.88749309
 Sikkim,66,43,52,68,56.2835085
 Tamil Nadu,100,100,100,100,100
 Tripura,73,44,60,59,58.06904713
 Uttar Pradesh,98,95,97,97,96.74383238
 Uttarakhand,100,100,100,100,100
 West Bengal,83,80,80,86,82.21274127
 A. & N. Islands,94,97,99,99,97.22825565
 Chandigarh,96,96,99,98,97.24133983
 D. & N. Haveli,93,93,94,91,92.74356498
 Daman and Diu,95,96,100,96,96.73118717
 Delhi,100,100,100,100,100
 Lakshadweep,100,100,100,100,100
 Puducherry,98,97,97,98,97.49871794
