Company,Current Price (Rs),% Change,Volume,Equity,Face Value,Current
Tata Consultancy,"2,478.60",-0.02,12702,197.04,1,2478.6
Reliance Inds.,"1,270.40",0.87,84525,"3,242.45",10,1270.4
HDFC Bank,"1,429.75",-0.1,16693,506.35,2,1429.75
Infosys,"1,032.85",0.49,20069,"1,148.47",5,1032.85
HDFC,"1,447.30",0.34,14447,316.08,2,1447.3
ITC Ltd.,278.55,-0.43,314927,804.72,1,278.55
SBI,268.5,0.32,155700,776.28,1,268.5
Hindustan Unilever L,902.15,-0.26,8156,216.42,1,902.15
Coal India Ltd.,293.6,0.46,56203,"6,316.36",10,293.6
Maruti Suzuki India,"6,043.00",0.55,5982,151.04,5,6043
Sun Pharma.,703,0.21,169975,240.68,1,703
ONGC,193.45,0.68,73227,"4,277.75",5,193.45
Kotak Mahindra Bank,866.45,0.36,96889,917.4,5,866.45
Tata Motors Ltd.,468.1,1.78,100573,679.14,2,468.1
ICICI Bank,267.8,0.83,162379,"1,163.30",2,267.8
L&T,"1,551.60",1.42,55149,186.4,2,1551.6
Bharti Airtel,339.1,0.18,76394,"1,998.70",5,339.1
Hind. Zinc,320.55,2.82,1258599,845.06,2,320.55
NTPC,163,1.43,36278,"8,245.46",10,163
Wipro Ltd,505.75,0.84,2055593,494.14,2,505.75
HCL Technologies,874.9,0.29,7529880,282.18,2,874.9
Axis Bank Ltd.,485.25,0.15,168543,477.28,2,485.25
UltraTech Cement,"3,981.25",0.3,3273,274.43,10,3981.25
Asian Paints Ltd.,"1,062.50",0.24,15297,95.92,1,1062.5
Power Grid Corpo,193.15,0.55,273041,"5,231.59",10,193.15
Indian Oil Corp,381.15,2.34,98649,"2,427.95",10,381.15
Bajaj Auto Ltd.,"2,864.50",0.4,2759,289.37,10,2864.5
IndusInd Bank,"1,381.05",0.35,9316,595.26,10,1381.05
Mahi. & Mahi,"1,271.80",0.07,17258,310.55,5,1271.8
Vedanta,264.65,1.38,390447,296.47,1,264.65
Bosch Ltd.,"22,878.55",-0.31,116,31.4,10,22878.55
Adani Ports & Speci,325.5,0.96,36106,414.19,2,325.5
Hero MotoCorp,"3,357.45",1.42,3667,39.94,2,3357.45
Lupin Ltd.,"1,478.05",0.77,17208,90.15,2,1478.05
Bajaj Finserv Ltd.,"4,171.30",1.15,3967,79.57,5,4171.3
Eicher Motors,"24,288.05",-1.03,1103,27.16,10,24288.05
YES Bank Ltd.,"1,478.00",0.53,37343,421,10,1478
Nestle India,"6,300.00",-0.55,622,96.42,10,6300
Bharti Infratel Ltd.,314,0.43,16062,"1,896.67",10,314
Godrej Consumer Prod,"1,692.95",1.33,3934,34.05,1,1692.95
Shree Cement,"16,406.00",0.34,247,34.84,10,16406
Cairn India Ltd.,295.3,1.44,94145,"1,874.86",10,295.3
NMDC Ltd.,134.2,0.37,123583,396.47,1,134.2
Grasim Inds.,"1,085.00",0.44,5108,93.35,2,1085
Zee Entertainment En,523,0.49,11011,96.04,1,523
Dabur India,284.7,0.35,21337,176.15,1,284.7
Cipla,594.9,0.07,13822,160.71,2,594.9
GAIL (India) Ltd.,376.4,2.02,72011,"1,268.48",10,376.4
Tata Steel,491.4,0.54,137379,971.22,10,491.4
Bharat Petroleum,658.1,2.09,409423,723.08,10,658.1
MothersonSumiSystems,356.2,-1.44,43295,132.29,1,356.2
Tech Mahindra Ltd.,478.9,0.74,15773,485.26,5,478.9
Ambuja Cements Ltd.,232.75,-0.17,25542,397.13,2,232.75
JSW Steel,187.95,0.72,51780,241.72,1,187.95
Cadila Healthcar,441.8,0.8,10518,102.37,1,441.8
Dr. Reddy's Labs,"2,632.50",0.22,13109,85.3,5,2632.5
Siemens Ltd.,"1,244.45",1.24,3750,71.22,2,1244.45
Bharat Heavy Ele,166.25,0.15,165087,489.52,2,166.25
Aurobindo Pharma,688.75,1.48,67688,58.52,1,688.75
Titan Company,450.9,1.23,33192,88.78,1,450.9
Hindalco Indus.,193.5,0.08,375349,206.5,1,193.5
Britannia Ind.,"3,303.30",-0.72,2891,24,2,3303
Indiabulls Housing F,930,2.56,36202,84.27,2,930
Marico Ltd.,290.85,2,103645,129.02,1,290.85
Bank of Baroda,162.25,0.62,304202,462.09,2,162.25
Pidilite Inds.,696.75,0.72,7048,51.27,1,696.75
NHPC,30.05,0.84,95825,"11,070.67",10,30.05
Idea Cellular Ltd.,92.2,0.82,779989,"3,600.63",10,92.2
Oracle Financial Ser,"3,817.00",-0.4,532,42.45,5,3817
United Spirits,"2,196.00",2.88,15476,145.33,10,2196
Piramal Enterprises,"1,849.00",-0.29,12039,34.51,2,1849
UPL,720,0.26,14239,85.72,2,720
LIC Housing Fi,589.95,0.96,16539,100.93,2,589.95
Sun TV Network Ltd.,749.65,0.9,19757,197.04,5,749.65
PetronetLNG,389.8,0.31,20654,750,10,389.8
Havells India,453.8,1.05,31348,62.51,1,453.8
Punj. NationlBak,137.15,0.18,319468,392.72,2,137.15
Colgate Palm.,984,0.53,3568,27.2,1,984
DLF Ltd.,147.3,1.2,291392,356.75,2,147.3
ACC,"1,389.50",0.22,3977,187.79,10,1389.5
Steel Authority,62,0.57,111090,"4,130.53",10,62
ABB India,"1,193.00",0.63,718,42.38,2,1193
Glenmark Pharma,892.5,0.93,16247,28.22,1,892.5
